confidence,fdc_id,food_name_en,matched,no_match,reason,us_only,usda_category
high,167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted",False,True,"Frozen buttermilk waffles are a distinctly American processed convenience food with no equivalent in Japanese food composition tables; candidates are either instant noodles, bread products, or flour mixes with substantially different nutrient profiles and preparation methods",,Baked Products
high,167519,"Waffle, plain, frozen, ready-to-heat, microwave",False,True,"Frozen ready-to-heat microwave waffles are a distinctly American processed convenience food with no equivalent in Japanese food composition tables; closest candidates (croissants, bread) differ significantly in preparation method, texture, and nutritional profile (especially carbs at 45.4g vs 49-82g in candidates)",,Baked Products
high,167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",False,True,"Graham cracker pie crust is a highly processed American product with 2100 kcal/100g energy density and high fat content (24.8g) that doesn't match any Japanese table entries; closest candidates (instant noodles, croissants) are 3-5x lower in energy and have different nutrient profiles unsuitable for this ready-to-eat crust product",,Baked Products
high,167521,"Pie Crust, Cookie-type, Chocolate, Ready Crust",False,True,"Chocolate cookie-type pie crust is a highly processed American product with no equivalent in Japanese food composition table; candidates are either too low in energy (386-547 kcal vs 2020 kcal per 100g), lack fat content, or are fundamentally different food categories (noodles, bread, cereals)",,Baked Products
high,167523,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",False,True,"Frozen unbaked pie crust (1960 kcal/100g) is a highly processed American product with no equivalent in Japanese food composition table; closest candidates (croissants, instant noodles) are fundamentally different products with vastly different energy densities and compositions",,Baked Products
high,167528,"Pastry, Pastelitos de Guava (guava pastries)",False,True,"Pastelitos de guava are a Latin American pastry with guava filling; at 1590 kcal/100g they are significantly more energy-dense than all Japanese candidates (most under 550 kcal/100g), indicating a fundamentally different food composition (likely fresh vs. dried state comparisons) with no suitable Japanese pastry equivalent in the table",,Baked Products
high,167532,"Bread, white wheat",False,True,"US white wheat bread (994 kcal, 43.9g carbs per 100g) is a prepared baked good; Japanese table contains only raw grains and noodles with much lower energy density (332-547 kcal), making no suitable match available",,Baked Products
high,167534,"Cream puff, eclair, custard or cream filled, iced",False,True,"Cream puffs/eclairs are French pastries with custard/cream filling and icing - a sophisticated dessert with ~334kcal, 18.5g fat, and 37.4g carbs that doesn't match any Japanese bread product. Japanese table lacks filled/iced pastry or choux-based dessert entries; closest candidates are basic breads (200-310kcal, 3-10g fat) which are nutritionally and conceptually distinct from this filled, iced dessert pastry.",,Baked Products
high,167535,"Tortillas, ready-to-bake or -fry, flour, shelf stable",False,True,"Flour tortillas are a Mexican/Tex-Mex staple with no direct Japanese equivalent; the energy density (1240 kcal/100g) is unusually high for the nutrient profile and doesn't match any Japanese wheat-based prepared foods in the table, which are all substantially lower in calories and designed for different culinary applications.",,Baked Products
high,167536,"Snacks, beef jerky, chopped and formed",False,True,Beef jerky is a uniquely processed American meat snack with extremely high protein (33.2g) and salt (4.5g) that far exceeds all Japanese candy/snack candidates; no Japanese food composition table entry adequately matches this specialized dried meat product,,Snacks
high,167541,"Snacks, fruit leather, rolls",False,True,"Fruit leather rolls are a concentrated fruit product with very high carbs (85.8g), high calories (1550 kcal/100g), minimal fat (3.0g), and notably high vitamin C (120mg) - a nutrient profile that doesn't match any Japanese candy, biscuit, snack, or confection in the table; no Japanese equivalent exists for this specific dried fruit product category.",,Sweets
high,167549,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",False,True,"Microwave popcorn is a distinctly American processed snack with no Japanese equivalent in the table; nutrient profile (2440 kcal/100g, 43.6g fat, 45.1g carb) is too high in energy density compared to all candidates (465-588 kcal/100g), indicating different food processing and composition from Japanese snacks.",,Snacks
high,167567,"Baking chocolate, unsweetened, liquid",False,True,"Unsweetened liquid baking chocolate (1980 kcal/100g, 47.7g fat, 18.1g fiber) is a pure cocoa product fundamentally different from all Japanese candidates which are finished confections with lower energy density, added ingredients, and higher carbohydrates; no Japanese food composition table entry exists for unsweetened cocoa liquor/mass",,Sweets
high,167568,"Baking chocolate, unsweetened, squares",False,True,"Unsweetened baking chocolate (pure cocoa solids ~50%+, minimal sugar, high fiber from cocoa) has no close match; all candidates are sweetened chocolates or confections with much higher carbs and lower cocoa content",,Sweets
high,167572,"Ice creams, vanilla, light",False,True,"Light vanilla ice cream (755 kcal, 4.8g protein, 4.8g fat, 29.5g carbs) has no match in Japanese table; candidates are all shelf-stable baked goods/candies with different macronutrient profiles and much lower energy density when accounting for water content in ice cream",,Sweets
