category,confidence,food_id,food_name_jp,matched,no_match,reason
穀類,high,01002,あわ　精白粒,False,True,"Awa (foxtail millet) is a traditional Japanese grain with no direct equivalent in USDA database; while nutritionally similar to wheat/rice, it's a distinct grain species not commonly found in US food supply"
穀類,high,01167,キヌア　玄穀,False,True,"Quinoa (キヌア) is a pseudocereal with distinctive nutrient profile (complete protein, high fiber, mineral-rich) that does not match any USDA grain candidate; closest candidates are wheat/triticale but differ significantly in carbohydrate content (60.7g vs 71-72g) and nutritional composition, warranting NO_MATCH as quinoa is not a traditional US staple grain"
穀類,high,01171,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,False,True,"Tempura batter premix is a specialized Japanese food product with unique formulation (lower protein, specific additives for texture) not directly represented in USDA database; closest cooked grain/pasta matches differ significantly in preparation state and composition from dry premix flour"
穀類,high,01172,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,False,True,"Premixed tempura batter (天ぷら用バッター) is a specialized Japanese ingredient with no direct USDA equivalent; while some candidates are flour-based or baked products, none match the specific concept of a dry tempura batter mix designed for deep-frying applications"
穀類,high,01202,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,False,True,"Instant cup yakisoba (fried noodles) with oil-fried preparation and seasoning packet is a Japan-specific processed food product with no direct USDA equivalent; while instant noodles exist globally, this specific formulation with its characteristic high fat content (10.6g), salt level (2.3g), and fiber profile from the fried noodle base and seasoning does not match any available USDA candidate entries which are primarily unfried pasta, baked goods, or breakfast cereals"
穀類,high,01149,こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,False,True,"Fresh pasta (生パスタ) has no direct USDA match; candidates are baked products or cooked pasta, not raw/fresh wheat pasta dough"
穀類,high,01068,こむぎ　［ふ類］　焼きふ　車ふ,False,True,焼きふ (baked wheat gluten/fu) is a traditional Japanese protein-rich product with 30.2g protein per 100g; no USDA entry matches this unique gluten-based food with such high protein content and low carbohydrates
穀類,high,01177,こむぎ　［ふ類］　油ふ,False,True,油ふ (aburage/fried wheat gluten) is a uniquely Japanese processed wheat product with very high protein (22.7g) and moderate energy density (547kcal) from deep frying; no USDA candidate matches both the food concept and nutritional profile of this traditional Japanese ingredient
穀類,high,01179,こむぎ　［その他］　春巻きの皮　生,False,True,"春巻きの皮 (spring roll wrapper) is a specialized Asian food product with unique characteristics (thin wheat wrapper, raw/uncooked state) that has no direct equivalent in the USDA database; candidates are either finished baked goods, rice products, or significantly different food items"
穀類,high,01180,こむぎ　［その他］　春巻きの皮　揚げ,False,True,"Fried spring roll wrappers (揚げ春巻きの皮) are a specialized Asian food product with no direct USDA equivalent; candidates are either sweet baked goods/cookies or unfried grain products, none matching the fried wheat wrapper concept"
穀類,high,01069,こむぎ　［その他］　ちくわぶ,False,True,"Chikuwabu is a Japan-specific wheat gluten product (fu) with no direct US equivalent; closest candidates (pasta/noodles) have significantly different protein content (7.1g vs 2-5g) and carbohydrate profiles, making them poor matches for this traditional Japanese ingredient"
穀類,high,01077,こむぎ　［その他］　パン粉　生,False,True,Panko (生パン粉/fresh breadcrumbs) is a Japanese-specific bread product with distinct processing and texture characteristics that don't match standard USDA baked goods entries; no direct US equivalent exists in the provided candidates
穀類,high,01116,こめ　［うるち米製品］　米こうじ,False,True,"Rice koji (こめこうじ) is a fermented rice product with enzymatic properties specific to Japanese food production; no direct USDA equivalent exists as it's a specialized fermentation ingredient, not a baked good or standard grain product"
穀類,high,01117,こめ　［もち米製品］　もち,False,True,"Mochi (もち) is a traditional Japanese glutinous rice cake with no direct US equivalent; while candidates exist for rice and baked products, none accurately represent mochi's unique composition, preparation method, or food category as a standalone glutinous rice product"
穀類,high,01127,そば　そば　生,False,True,"Soba (buckwheat noodles) is a raw, uncooked Japanese pasta product with no direct USDA equivalent; all candidates are baked bread products with different processing, texture, and culinary applications than fresh soba noodles"
穀類,high,01136,とうもろこし　ポップコーン,False,True,"Popcorn is a basic grain product that should exist in USDA database, but no popcorn entry appears in candidates; all options are baked products/cookies/crackers with significantly different nutrient profiles (lower protein, higher carbs/fats than popcorn)"
いも・でん粉類,high,02002,＜いも類＞　こんにゃく　精粉,False,True,"Konnyaku (精粉/refined powder) is a Japan-specific food made from konjac root with unique composition (79.9g fiber, 3000mg K per 100g) with no US food equivalent; USDA candidates lack the characteristic extreme fiber and mineral profile of konnyaku products"
いも・でん粉類,high,02003,＜いも類＞　こんにゃく　板こんにゃく　精粉こんにゃく,False,True,Konnyaku is a Japan-specific food product made from konjac plant with unique gel texture and composition; no true US USDA equivalent exists - it's a traditional Japanese ingredient with no comparable product in the US food supply
いも・でん粉類,high,02004,＜いも類＞　こんにゃく　板こんにゃく　生いもこんにゃく,False,True,Konnyaku is a Japan-specific food product made from konjac plant with unique gelatinous texture and composition; no nutritionally or conceptually equivalent product exists in USDA database
いも・でん粉類,high,02042,＜いも類＞　こんにゃく　赤こんにゃく,False,True,"Konnyaku is a Japan-specific gelled product made from konjac (Amorphophallus konjac) with no direct US food equivalent; while seaweed gels exist, konnyaku's unique manufacturing process and cultural significance place it outside standard USDA food categories"
いも・でん粉類,high,02043,＜いも類＞　こんにゃく　凍みこんにゃく　乾,False,True,"Konnyaku (こんにゃく) is a Japan-specific food made from konjac plant with no direct US equivalent; dried frozen konnyaku has distinctive nutritional profile (71.3g fiber, 1600mg Ca) and processing method unique to Japanese cuisine"
いも・でん粉類,high,02044,＜いも類＞　こんにゃく　凍みこんにゃく　ゆで,False,True,"Konnyaku (konjac/devil's tongue jelly) is a Japan-specific food product with no true US equivalent; while nutritionally similar to some vegetables, it's a processed gel made from konjac plant with unique texture and properties not represented in USDA database candidates"
いも・でん粉類,high,02005,＜いも類＞　こんにゃく　しらたき,False,True,Shirataki (konnyaku noodles) is a Japan-specific food product made from konjac/devil's tongue plant with unique gelatinous texture; no direct USDA equivalent exists - it's a traditional Japanese ingredient with distinctive properties not represented in the provided vegetable options
いも・でん粉類,high,02009,＜いも類＞　（さつまいも類）　さつまいも　蒸し切干,False,True,"Steamed dried sweet potato (蒸し切干) is a specific Japanese processed product with concentrated nutrients (277 kcal, 66.5g carbs, 5.9g fiber, 980mg potassium) that has no direct USDA equivalent; raw/cooked yam and potato products in the database are either fresh (lower energy) or fried (higher fat), not matching this dried, steamed preparation"
いも・でん粉類,high,02011,＜いも類＞　（さといも類）　さといも　球茎　水煮,False,True,"Taro corm (さといも) is a starchy tuber with specific nutritional profile (52kcal, high K/fiber); no USDA candidate adequately matches - mountain yam is closest conceptually but significantly higher in energy (67-82kcal) and carbs (16.3-20g), and taro is a distinct Asian root vegetable not well-represented in USDA database"
いも・でん粉類,high,02063,＜いも類＞　じゃがいも　塊茎　皮つき　生,False,True,Japanese potato with skin (生/raw) - USDA candidates lack raw potato with skin; candidate #1 is prepared/cooked O'Brien style; raw potato with skin is a basic global ingredient but no exact match exists in provided database
いも・でん粉類,high,02017,＜いも類＞　じゃがいも　塊茎　皮なし　生,False,True,"Japanese raw potato (peeled tuber) is a basic global ingredient that should have a USDA match, but none of the candidates are raw potatoes; candidate 1 is O'Brien (cooked/prepared), and others are completely different vegetables (beans, yams, taro), making this a data gap rather than a true NO_MATCH situation, but no suitable alternative exists in the provided list"
いも・でん粉類,high,02054,＜いも類＞　ヤーコン　塊根　生,False,True,"Yacon is a tuber crop native to South America with unique FOS (fructooligosaccharide) composition; no USDA entry exists for raw yacon, and provided vegetable candidates (squash, cucumber, celery) are nutritionally and botanically distinct from this specialized root vegetable"
いも・でん粉類,high,02055,＜いも類＞　ヤーコン　塊根　水煮,False,True,Yacon is a South American tuber crop not commonly found in US food supply; no nutritionally or conceptually similar USDA entry exists among the vegetable candidates provided
いも・でん粉類,high,02070,＜でん粉・でん粉製品＞　（でん粉類）　おおうばゆりでん粉,False,True,"Ōba lily starch (大烏芋でん粉) is a specialized starch product from a specific Japanese tuber with no direct USDA equivalent; while cassava starch exists, the source plant and product specifications differ fundamentally from available US food database entries"
いも・でん粉類,high,02028,＜でん粉・でん粉製品＞　（でん粉類）　キャッサバでん粉,False,True,"Cassava starch is a purified starch product with ~354 kcal/100g and 93.8g carbs; USDA candidate 4 (Cassava, raw) at 160 kcal represents raw cassava root, not the processed starch product. No USDA entry exists for cassava starch specifically."
いも・でん粉類,high,02029,＜でん粉・でん粉製品＞　（でん粉類）　くずでん粉,False,True,"Kuzu starch (くずでん粉) is a pure starch product extracted from kudzu root, a traditional Japanese ingredient with no direct US food database equivalent; while candidates like potato starch products exist, they don't represent the same botanical source or traditional product category"
いも・でん粉類,high,02030,＜でん粉・でん粉製品＞　（でん粉類）　米でん粉,False,True,"Rice starch (米でん粉) is a pure starch product with extremely high carbohydrate (98.2g) and minimal protein (0.2g); no USDA candidates match this pure starch ingredient profile - all candidates are prepared potato dishes or vegetables with added fats, proteins, or sodium"
いも・でん粉類,high,02031,＜でん粉・でん粉製品＞　（でん粉類）　小麦でん粉,False,True,小麦でん粉 (wheat starch) is a pure starch product with minimal protein/fat and ~360kcal per 100g; no USDA candidate matches this pure starch concept - all candidates are prepared potato/vegetable dishes with added ingredients or significantly different nutritional profiles
いも・でん粉類,high,02032,＜でん粉・でん粉製品＞　（でん粉類）　サゴでん粉,False,True,"Sago starch is a highly processed, purified starch product from sago palm with no direct US food database equivalent; closest candidates (potato starches, cassava) are different botanical sources and processed differently"
いも・でん粉類,high,02033,＜でん粉・でん粉製品＞　（でん粉類）　さつまいもでん粉,False,True,Sweet potato starch is a pure starch product with minimal protein/fat and ~90% carbohydrates; no USDA candidate matches this refined starch ingredient profile - all candidates are either prepared potato dishes with added fats/proteins or other vegetable products
いも・でん粉類,high,02034,＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉,False,True,Potato starch is a purified starch product with ~90% carbohydrates and minimal protein/fat; no USDA candidates match this specific ingredient profile - all candidates are prepared potato dishes or processed foods with added ingredients
いも・でん粉類,high,02035,＜でん粉・でん粉製品＞　（でん粉類）　とうもろこしでん粉,False,True,"Cornstarch is a pure refined starch product; USDA database lacks a direct equivalent entry for isolated starches/starch products, only processed potato/vegetable dishes with added ingredients"
いも・でん粉類,high,02036,＜でん粉・でん粉製品＞　（でん粉製品）　くずきり　乾,False,True,Kuzu-kiri is a traditional Japanese starch noodle product (kudzu starch) with no direct US equivalent; closest candidates are potato-based products but kuzu-kiri is fundamentally a specialized Japanese starch noodle with distinct composition and preparation
いも・でん粉類,high,02056,＜でん粉・でん粉製品＞　（でん粉製品）　ごま豆腐,False,True,"Goma dofu is a traditional Japanese starch-based product (sesame tofu) with no direct US USDA equivalent; all candidates are vegetables/legumes, not starch-based prepared foods like goma dofu"
いも・でん粉類,high,02038,＜でん粉・でん粉製品＞　（でん粉製品）　タピオカパール　乾,False,True,Tapioca pearls (dried) are a specialized starch product; USDA database lacks direct equivalent - candidates are primarily vegetables/corn products with different nutritional profiles and food concepts
いも・でん粉類,high,02057,＜でん粉・でん粉製品＞　（でん粉製品）　タピオカパール　ゆで,False,True,Tapioca pearls (boiled) are a specialized starch product not represented in USDA vegetable database; closest matches are vegetables/pickles which are fundamentally different food categories despite some energy overlap
いも・でん粉類,high,02058,＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　生,False,True,"Starch noodles (でん粉めん) are a Japanese starch product with no direct USDA equivalent; all candidates are vegetables/pickles, not starch-based noodle products"
いも・でん粉類,high,02059,＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　乾,False,True,でん粉めん (starch noodles) is a Japan-specific product made from pure starch with minimal protein/fat; no US USDA entry matches this specialized starch-based noodle product - candidates are all vegetables/corn products with substantially higher protein content
いも・でん粉類,high,02060,＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　乾　ゆで,False,True,Starch noodles (でん粉めん) are a Japan-specific starch product with no direct US USDA equivalent; candidates are all vegetables which are nutritionally and conceptually distinct from a starch-based noodle product.
いも・でん粉類,high,02039,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　乾,False,True,"Mung bean glass noodles (harusame) are a Japan-specific starch product with no direct USDA equivalent; while nutritionally similar to starches, no candidate represents this specific Asian noodle product made from mung bean starch"
いも・でん粉類,high,02061,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　ゆで,False,True,"Harusame (mung bean vermicelli) is a Japanese starch noodle product with no direct USDA equivalent; candidates are all vegetable products (corn, beets, potatoes) with fundamentally different food concepts and compositions"
いも・でん粉類,high,02040,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　普通はるさめ　乾,False,True,"Harusame (dried glass noodles) is a Japanese starch product with no direct US USDA equivalent; while nutritionally similar to some starch products, it is a specific processed noodle product not represented in the provided candidates which are mostly potato-based or vegetable products."
